direction,status,num_segments,from,to,account_sid,date_created,date_sent,price_unit,price,body
inbound,received,1,Whatsapp:+48 727 652 6435,+385 415 249 4655,E9133,1615313471000,1624225552000,USD,0,Ergonomic actuating algorithm
inbound,delivered,1,Whatsapp:+33 950 704 3164,+86 962 261 0830,42653,1626153930000,1634162427000,USD,0,Profit-focused even-keeled leverage
inbound,sent,1,Whatsapp:+1 704 847 4690,+86 138 711 6628,82110,1639301707000,1638974520000,USD,0,Up-sized local ability
inbound,delivered,2,Whatsapp:+86 260 962 4513,+48 338 107 3788,5410,1636414903000,1630948399000,USD,0,Synergistic executive initiative
inbound,received,1,Whatsapp:+63 453 529 4376,+49 346 831 4863,27786,1643293495000,1629117373000,USD,0,Networked upward-trending function
inbound,delivered,1,Whatsapp:+54 810 776 0357,+63 985 334 9113,37034,1635389245000,1619481926000,USD,0,Mandatory national conglomeration
inbound,received,2,Whatsapp:+84 318 558 8321,+7 457 898 8091,771,1619353237000,1615096254000,USD,0,Advanced client-server support
inbound,delivered,2,Whatsapp:+81 332 611 3821,+598 882 117 2718,E8018,1625951098000,1636220884000,USD,0,Optimized system-worthy implementation
inbound,sent,1,Whatsapp:+62 556 294 0893,+63 502 161 2167,9630,1624094831000,1623896088000,USD,0,Inverse intangible instruction set
inbound,read,1,Whatsapp:+86 587 315 8593,+596 379 663 8580,E9401,1631167206000,1631238170000,USD,0,Business-focused actuating extranet
inbound,received,1,Whatsapp:+380 673 761 9627,+261 149 308 7993,99580,1635815546000,1639613105000,USD,0,Team-oriented 6th generation moderator
inbound,received,2,Whatsapp:+1 513 302 8732,+994 675 992 2798,31323,1620968826000,1616984624000,USD,0,Intuitive exuding website
inbound,delivered,1,Whatsapp:+81 183 118 7871,+63 626 577 9648,94442,1641788966000,1643393257000,USD,0,Reverse-engineered mission-critical protocol
inbound,delivered,2,Whatsapp:+62 250 501 7874,+86 284 589 5657,9859,1635052628000,1644955604000,USD,0,Customer-focused asynchronous contingency
inbound,received,1,Whatsapp:+86 237 608 8802,+62 427 982 3325,3582,1618155733000,1642291201000,USD,0,Devolved asymmetric software
inbound,received,1,Whatsapp:+62 952 960 8902,+86 963 836 0249,65271,1622494402000,1621530070000,USD,0,Optional static archive
